"Method","Cost","Data_Size","log_cost"
"Method-1",3953012047.2,3819.08915514758,22.0977436688657
"Method-1",3793933728,3623.34334302665,22.0566692407263
"Method-1",3798610668,3691.32045743997,22.0579012231416
"Method-1",3892960137.6,3737.41154576569,22.0824356660155
"Method-1",3997100001.6,3861.45995254309,22.108834935527
"Method-1",3784205692.8,3689.5583569027,22.054101845221
"Method-1",3959746840.8,3836.53956895061,22.0994459310783
"Method-1",3954383949.6,3780.91606461348,22.0980906610777
"Method-1",3964860295.2,3791.07518325728,22.1007364569106
"Method-1",4065133888.8,3942.35946465624,22.1257125163779
"Method-1",4011068462.4,3886.06722071493,22.1123234922498
"Method-1",3924513892.8,3777.73464615827,22.0905083315427
"Method-1",4263747940.8,4113.52973028947,22.1734144087419
"Method-1",4009696560,3847.15752451339,22.1119814045788
"Method-1",4124624565.6,4018.12636708345,22.140240838191
"Method-1",3905743773.6,3808.5546496778,22.0857140690926
"Method-1",4096750003.2,3857.48277241964,22.1334598141717
"Method-1",4101302224.8,3912.98920180451,22.1345703760323
"Method-1",4169585548.8,3943.65560157844,22.1510824790408
"Method-1",4124936361.6,3967.65641731102,22.1403164291231
"Method-1",4083966367.2,3866.79538355763,22.1303345019554
"Method-1",4090950597.6,3858.28045582669,22.1320431999469
"Method-1",4099431448.8,3945.28696063218,22.1341141300166
"Method-1",4120009984.8,3987.33096366504,22.1391214238001
"Method-1",4128615554.4,4029.73590688372,22.1412079708693
"Method-1",4032395308.8,3816.95092737166,22.1176264057667
"Method-1",4130049816,3949.39198140281,22.1415553058321
"Method-1",4142584015.2,4026.72900355826,22.1445855883387
"Method-1",4363834456.8,4192.96194065892,22.1966169703755
"Method-1",4204693778.4,4058.04883912264,22.1594673045091
"Method-1",4326169500,4166.73450022154,22.1879483454018
"Method-1",4198270780.8,4132.16407760984,22.1579385585991
"Method-1",3866020963.2,3834.34355996091,22.07549164017
"Method-1",4090825879.2,4021.09494189847,22.1320127130715
"Method-1",4170957451.2,4001.64152811898,22.1514114510063
"Method-1",4304281420.8,4024.49489829255,22.1828760435419
"Method-1",4128740272.8,3930.25730461791,22.1412381786992
"Method-1",4406550508.8,4214.42731544477,22.206358022778
"Method-1",4275471470.4,4217.38467119397,22.1761602187278
"Method-1",4365455796,4177.21154160665,22.1969884414051
"Method-1",4257075506.4,4030.92862138151,22.171848260633
"Method-1",4236496970.4,4090.43383893077,22.1670025784839
"Method-1",4044804789.6,3831.95237130503,22.1206991266137
"Method-1",4072492274.4,3974.05287361117,22.1275210014221
"Method-1",4254955293.6,4161.50074243714,22.1713500921245
"Method-1",4179563020.8,4010.36149843402,22.1534725375399
"Method-1",4417213932,4241.29162665298,22.2087750021665
"Method-1",4252835080.8,4006.04691373846,22.1708516753205
"Method-1",4338142466.4,4220.26769465086,22.1907120903056
"Method-1",4410167342.4,4167.1909433334,22.2071784718077
"Method-1",4423138056,4214.06550384103,22.2101152485492
"Method-1",4589948916,4368.17332602499,22.2471347315452
"Method-1",4372876540.8,4232.86479587013,22.1986868768268
"Method-1",4217477414.4,4208.53090301376,22.1625030171596
"Method-1",4274349004.8,4058.49099356369,22.1758976481605
"Method-1",4557459772.8,4367.11235541835,22.2400312378846
"Method-1",4445899164,4287.98330607805,22.2152479720693
"Method-1",4167340617.6,4059.98348641355,22.1505439277307
"Method-1",4374809676,4259.02164331729,22.1991288531812
"Method-1",4469283864,4236.44324041585,22.220494023341
"Method-1",4464108050.4,4278.85847911123,22.2193352665712
"Method-1",4371629356.8,4298.48507580541,22.1984016270887
"Method-1",4353794625.6,4238.55035076755,22.1943136295144
"Method-1",4701197728.8,4506.01835723189,22.2710831491122
"Method-1",4683612434.4,4552.68338428725,22.2673355368162
"Method-1",4491047224.8,4263.56717230938,22.2253517464276
"Method-1",4637591344.8,4396.92901311406,22.2574609616779
"Method-1",4431307111.2,4222.74231641464,22.2119604364437
"Method-1",4671639468,4442.89453228367,22.2647759108303
"Method-1",4445774445.6,4297.54713106423,22.2152199192177
"Method-1",4634660462.4,4406.55518287665,22.2568287781353
"Method-1",4498717406.4,4339.85240609392,22.2270581722965
"Method-1",4434487430.4,4304.36966350351,22.2126778722746
"Method-1",4627426795.2,4465.89099441182,22.255266782773
"Method-1",4814691472.8,4659.77254014245,22.2949378038818
"Method-1",4440473913.6,4265.43674198999,22.2140269449918
"Method-1",4328227353.6,4156.07188084431,22.1884239079797
"Method-1",4641395256,4479.52378380693,22.258280859707
"Method-1",4547981174.4,4395.55314107022,22.2379492735122
"Method-1",4468660272,4230.49941262748,22.220354485212
"Method-1",4679184931.2,4574.79789627414,22.2663897717084
"Method-1",4860650203.2,4720.5855852361,22.3044380525768
"Method-1",4564693440,4461.71207282092,22.2416171943025
