"Method_1_Cost","Method_2_Cost","Method_3_Cost"
4670766439.2,112981258.84758,974907.002650993
4421890872,107221711.974039,919904.884297962
4583962432.8,111230649.156104,995771.27877723
4325982422.4,104096006.071286,893953.651962338
4723023448.8,112995116.738105,979270.080311345
4765490064,115176276.596964,973036.257166663
4753142942.4,116076555.283133,1026337.5330007
4521291436.8,110871130.289234,905756.533468186
4970402395.2,122298398.71034,1069336.85778163
4566439497.6,110360618.007438,922737.008216228
4850548012.8,117336698.295375,1062184.10381625
4865638939.2,116855595.994978,998368.753037986
4835955960,117529614.316938,990116.884354964
4520418408,109831428.947041,929946.060351347
4563570974.4,111442127.368602,925001.423480933
4567250167.2,110535043.168019,964201.52304499
4659417064.8,111894265.699758,967334.022791459
4587579266.4,108848180.865477,881900.537372691
4693652265.6,113481332.84953,990935.486051335
4508881956,109897607.487965,966568.814979929
4797355615.2,115403180.255755,929487.149352856
4626117252,112073600.161419,951520.86289914
4588701732,110967646.981256,940974.307196266
4858218194.4,116686646.729292,1037174.42097982
4778398418.4,113418506.75092,949123.732177846
4825354896,116206656.458612,995688.486837756
4567499604,110162714.941269,916792.57349198
4535758771.2,108238895.471614,919580.500537818
4791119695.2,115900893.351245,938803.010913657
4944835123.2,116162183.744177,954302.157376544
4991105649.6,121344635.155794,1032393.81708717
4839759871.2,114908187.759053,994311.294710012
4777463030.4,115366590.804156,936479.030267229
4985742758.4,120223804.332939,991192.039002638
4543054797.6,108680686.644341,976208.884891836
4586332082.4,111054633.35707,947792.42775468
4603293784.8,111902400.34677,951924.123029623
4672325419.2,112488649.992462,919828.724226325
4378426509.6,105709777.663573,878855.183459077
4662784461.6,111571878.008537,929687.388499004
4602233678.4,110396319.491811,1017791.22376999
4632041376,111072620.001378,918822.947189214
4655301357.6,112611373.963602,998368.059323586
4686106802.4,113219040.047748,1018039.38373565
4683737152.8,111936342.875681,954488.745394198
4751209807.2,115002861.05086,943426.434153606
4742666596.8,113289795.472817,1015227.49330139
4516988652,108510199.935893,908409.292332763
4583588277.6,110071933.247102,907981.278743401
4501835366.4,109323274.082328,914008.996601343
4717598198.4,113185942.851028,927329.438061899
4747655332.8,114215240.962168,1009055.96807225
4646009836.8,111026211.14577,947082.678340395
5006695449.6,118227058.55071,1047510.36941185
4771975420.8,114734061.991636,1026342.06553636
4543366593.6,110467459.225561,993340.325914509
4856097981.6,115988547.893632,1032871.90488536
4778834932.8,115533536.36879,1025810.61089964
4610215656,112853129.955316,1017273.03410827
4699763467.2,112375698.000807,996266.225257508
4639087965.6,109983541.133097,950320.135369801
4609654423.2,111135951.031901,956798.660150364
4840071667.2,114805631.237351,969376.641646262
4870191160.8,119825765.655321,987989.947831414
4714542597.6,113244883.890675,963644.903759067
4581280987.2,110103804.651507,950039.096766014
4778086622.4,116416912.071863,978308.745570337
4756447980,112515570.416769,933683.573464222
4744537372.8,114291493.870025,1036707.14918997
4815190346.4,115068403.291735,971583.405998722
4821052111.2,117157847.936071,971395.386275332
4614081926.4,111990990.962888,940508.699179643
4638589092,111537506.804342,1002341.944758
4616825731.2,110983125.171586,965806.304293666
4569120943.2,109213739.659431,981568.718946891
4633600356,113082000.373254,957927.823318116
4431431829.6,105179309.53031,870371.604581545
4582902326.4,109429918.590838,959068.067090394
4509630266.4,108182893.471151,905939.624689294
4740109869.6,113615390.089475,912716.231583877
4722462216,113512276.436485,949872.113278813
4451511492,107214525.397506,904916.492127774
4521229077.6,109111746.651535,887829.762161705
4772536653.6,116219114.527854,1019033.94520983
4748964876,112935744.729972,956725.976842043
4781890533.6,114951900.548399,943809.844412834
4717847635.2,111507598.71926,930314.67222912
4662971539.2,111673665.32566,918427.56004506
4624558272,109849952.488942,917410.757383636
4578350104.8,110903636.155784,979144.985810318
4689162403.2,111489642.809501,921170.390824661
4698952797.6,111647042.465449,976157.958024139
4561575480,107993657.241609,942162.437083
4712297666.4,113433887.238639,1008514.17909653
4478388307.2,108397304.182684,948620.918466133
4673572603.2,112059169.422386,941489.685663456
4800972448.8,113231068.325385,933485.105275385
4633974511.2,112653093.536891,1000113.00859036
4756136184,115435819.358677,1017640.91823304
4819368412.8,116482976.723222,977192.49768194
4906110060,119014252.647587,1006943.06544072
4735994162.4,113027600.846871,953058.281292171
4652121038.4,111388499.22538,943193.484201128
4392394970.4,104896948.70001,935482.040264662
4800847730.4,116955353.069565,981705.774444037
4686418598.4,115006890.476698,1055005.34105393
4795422480,116043841.523992,1016647.63183145
4541620536,110523220.353683,907302.311356093
4506449947.2,108422745.560344,966044.664635324
4756572698.4,115826874.381115,965542.676643539
4625680737.6,111274886.152442,942196.665135902
4667648479.2,112150951.764452,966493.897090402
4629609367.2,112354711.445707,993999.947128266
4796108431.2,115067871.649772,998744.88263199
4524596474.4,110007618.710103,887887.179507452
4679122572,112021716.853746,982843.864725199
4590884304,110096061.312698,923111.706519653
4475332706.4,108795133.664121,937066.245374923
4637217189.6,113436238.4693,938660.381780067
4759004707.2,113846467.206883,974144.109803653
4814504395.2,116412268.325484,962529.954378648
4639898635.2,111319517.112143,943516.782248205
4573111932,111083966.798318,953516.335538931
4738925044.8,114162135.888253,982726.956195888
4659791220,111356897.713049,935595.550021806
4782825921.6,114815826.387808,953431.903314686
4711112841.6,113165763.945385,934687.544759606
4601360649.6,109089967.557703,901319.164279632
4577975949.6,110660894.522756,926667.566181891
4838076172.8,114701563.945899,936264.867201271
4820179082.4,117093547.336336,986825.356295729
4695024168,112833645.501994,919611.450303937
4576791124.8,110336520.205041,929699.975779856
4577477076,111712199.324455,945444.416733674
4640958741.6,112590114.206726,1016198.3397022
4689224762.4,113592541.44843,941981.945178607
4530084084,107299207.60056,898257.13571353
4714667316,112934650.637799,980486.933108842
4842441316.8,117144061.760885,1052821.73246605
4703505019.2,111300648.93175,956739.842331018
4608656676,109758069.023451,937773.231586967
4848926673.6,117270855.867344,1035775.18563655
4403869063.2,106455088.925699,928983.066310693
4828098700.8,117858158.915525,1007703.61726555
4637092471.2,111735161.296788,969462.86401711
4666775450.4,112933383.273134,991154.210489898
4555090123.2,109255534.812116,954578.329316652
4754889000,113707961.340339,969937.911712581
4631604861.6,112947012.961912,970397.096937524
4688476452,112421897.992188,987926.891764155
4561637839.2,108997898.867504,914797.931220197
4814130240,116189619.284599,987106.392016567
4522226824.8,107899138.295867,872757.286634772
4504017938.4,107865899.086153,930301.29163084
4795360120.8,114741286.126834,975492.761713711
4961609748,117242931.65625,1016602.47469266
4603792658.4,110842596.369275,991546.830144593
4323986928,104715655.718147,893059.092424634
4577227639.2,109222693.963938,955915.284361086
4527402638.4,108828471.050897,914474.412833787
4649003078.4,111026605.017349,947466.368736195
4635970005.6,113426151.59793,953997.674392455
4857781680,118160542.70521,946206.560628567
4478201229.6,108826826.148943,986531.996063702
4666151858.4,114425518.573258,987024.769592695
4841755365.6,118367549.787924,1043106.41370655
4559579985.6,110702945.958452,972859.12765583
4722212779.2,112607529.342063,952832.342493863
4699326952.8,113592383.979418,991322.927954951
4677688310.4,112624737.575399,956512.085287447
4561575480,109770956.310568,968871.86065249
4600612339.2,111132232.009988,938799.904956301
4726328486.4,113313733.177144,961222.066097819
4765053549.6,114521864.517259,932692.382501374
4762870977.6,114201441.344308,931974.487288134
4505389840.8,110827388.507693,914161.370010975
4623809961.6,114583746.509229,1078518.94097093
4635720568.8,114588133.866249,1002996.33137711
4465542312,107739364.07185,947004.788307643
4700324700,115933551.331187,1011425.16862493
4700012904,112262195.814904,921931.375518068
4847492412,114732222.088365,984966.149731898
4470842844,107114953.266757,946189.597829286
4562635586.4,110529391.988485,994015.748232878
4736493036,112404751.611445,990427.08713881
4807831960.8,114019899.933102,954390.36745681
4774469788.8,112143958.52999,891300.352391803
4665029392.8,111737206.073068,920908.78938494
4550101387.2,107845269.478319,961890.025093961
4524284678.4,109047525.861605,970703.782369739
4718533586.4,115441997.678336,999928.323152476
4895696073.6,115670886.636014,973316.580842647
4571677670.4,112344771.910932,961899.961331626
4764554676,113235958.862161,963356.202469205
4610776888.8,111787893.641858,896214.241672
4685857365.6,111888434.481769,911180.448186757
4421142561.6,106320692.788942,898265.60689208
4612897101.6,112958158.52778,928712.254741515
4695398323.2,112361241.408089,942368.451801214
4611026325.6,111342839.653125,895321.112063207
4925441412,117099113.696282,951563.251482769
4786193318.4,116535652.313534,975369.665565038
4688912966.4,111476335.614401,948147.335528041
4762122667.2,114876793.055277,939543.306856978
4736742472.8,113712114.339736,1001181.62288595
4549851950.4,108032950.147254,926112.826814095
4830530709.6,115469821.137252,923492.334983248
4540747507.2,108198352.788613,920754.850695552
4691282616,116425983.585408,995092.143392205
4511875197.6,107773825.070069,869265.064498649
4646259273.6,112446499.326433,951085.954482806
4635658209.6,111168439.502867,989046.484504703
4689037684.8,112882901.120248,980613.238007389
4752269913.6,114193719.877329,928272.257059225
4524908270.4,109295733.917002,939884.991495855
4395637648.8,105968621.397772,871854.600290766
4575980455.2,110593249.145589,941250.450943771
4564319284.8,109025336.593901,883903.358559758
4685670288,112150525.297861,954496.623029606
4620317846.4,111376828.75794,922023.435874634
4526591968.8,107154716.085817,944863.30253025
4720404362.4,114971440.464232,994552.501116366
4522850416.8,110659754.978454,1022438.61599973
4536195285.6,109923292.29256,931958.005318568
4739860432.8,113254691.179036,931448.572383077
4700137622.4,114606391.516871,997217.347241319
4625493660,110242325.679905,905336.045832344
4748653080,112561056.848668,954325.073823111
4747031740.8,116470233.43107,1004522.05007976
4537629547.2,108998580.760605,944413.433895499
4722586934.4,113206358.547748,945830.377939118
4701135369.6,112250198.609978,981263.841550709
4495287650.4,106881659.745899,922668.629724063
4638963247.2,112286700.852099,926886.847225042
4710863404.8,113195620.822533,947519.24403602
4565753546.4,110548490.160449,959689.525000923
4618509429.6,109759410.312768,950509.147597617
4701883680,113166073.577317,960676.052124659
4860650203.2,116980349.531749,1048080.3988449
4696458429.6,113581739.810275,970244.818854589
4777712467.2,115273964.419059,1029481.70338025
4756697416.8,114077175.370089,955010.473397946
4777213593.6,115795395.030203,1044406.50412719
4519046505.6,110034574.313946,898692.348209716
4580844472.8,108755551.577225,905670.859154833
4536569440.8,107999200.32189,931147.920876419
4517175729.6,110389821.442846,965588.347238226
4522351543.2,109953541.751758,893655.05683871
4483439402.4,109331973.398205,922533.473761968
4658980550.4,110783689.526479,929049.383802552
4741294694.4,113647596.831481,981791.102530492
4632852045.6,110163364.427125,982157.760615741
4591133740.8,109406132.321092,942677.239150241
4741169976,112348707.804974,957831.456351756
4469720378.4,106494273.445819,880730.012177105
4372377667.2,107594373.615117,941582.077193254
4752332272.8,113034811.42137,948619.529078471
4528899259.2,108573711.306224,925357.690550681
4584149510.4,109272809.261924,899725.720057118
